operation_id,method,path,permission,requirements,contract_status
searchCustomers,GET,/stores/{storeId}/customers,customer.lookup,"V4-CUS-01,V4-CUS-05",DESIGN_NOT_IMPLEMENTED
createCustomer,POST,/stores/{storeId}/customers,customer.manage,V4-CUS-06,DESIGN_NOT_IMPLEMENTED
updateCustomer,PATCH,/stores/{storeId}/customers/{customerId},customer.manage,V4-CUS-06,DESIGN_NOT_IMPLEMENTED
designateRegular,POST,/stores/{storeId}/customers/{customerId}/regular-designation,customer.designate,V4-CUS-01,DESIGN_NOT_IMPLEMENTED
createPermit,POST,/stores/{storeId}/permits,permit.manage,V4-CFG-01,DESIGN_NOT_IMPLEMENTED
revokePermit,POST,/stores/{storeId}/permits/{permitId}/revoke,permit.manage,V4-CFG-06,DESIGN_NOT_IMPLEMENTED
createPolicyVersion,POST,/stores/{storeId}/events/{eventId}/policy-versions,policy.manage,V4-CFG-05,DESIGN_NOT_IMPLEMENTED
previewPolicy,POST,/stores/{storeId}/events/{eventId}/policy-versions/{policyId}/preview,policy.manage,"V4-CFG-05,V4-CFG-06",DESIGN_NOT_IMPLEMENTED
publishPolicy,POST,/stores/{storeId}/events/{eventId}/policy-versions/{policyId}/publish,policy.manage,"V4-CFG-06,V4-CFG-07",DESIGN_NOT_IMPLEMENTED
searchVisits,GET,/stores/{storeId}/events/{eventId}/visits,visit.read,"V4-CUS-02,V3-ENT-01",DESIGN_NOT_IMPLEMENTED
createVisit,POST,/stores/{storeId}/events/{eventId}/visits,visit.create,"V3-REG-01,V4-CFG-08",DESIGN_NOT_IMPLEMENTED
getVisit,GET,/stores/{storeId}/events/{eventId}/visits/{visitId},visit.read,,DESIGN_NOT_IMPLEMENTED
updateVisit,PATCH,/stores/{storeId}/events/{eventId}/visits/{visitId},visit.edit,,DESIGN_NOT_IMPLEMENTED
addSegments,POST,/stores/{storeId}/events/{eventId}/visits/{visitId}/segments,visit.edit,V3-POL-10,DESIGN_NOT_IMPLEMENTED
replaceSegment,POST,/stores/{storeId}/events/{eventId}/segments/{segmentId}/replace,visit.edit,V3-REG-04,DESIGN_NOT_IMPLEMENTED
cancelVisit,POST,/stores/{storeId}/events/{eventId}/visits/{visitId}/cancel,visit.cancel,V3-POL-09,DESIGN_NOT_IMPLEMENTED
changeAttribution,POST,/stores/{storeId}/events/{eventId}/visits/{visitId}/attribution,attribution.manage,V4-APR-07,DESIGN_NOT_IMPLEMENTED
listApprovals,GET,/stores/{storeId}/events/{eventId}/approvals,approval.read,V4-APR-01,DESIGN_NOT_IMPLEMENTED
decideApproval,POST,/stores/{storeId}/events/{eventId}/approvals/{requestId}/decisions,approval.decide,"V4-APR-01,V4-APR-02,V3-APR-02",DESIGN_NOT_IMPLEMENTED
recordCustomerCheck,POST,/stores/{storeId}/events/{eventId}/visits/{visitId}/customer-checks,entrance.match,"V4-CUS-03,V4-CUS-04",DESIGN_NOT_IMPLEMENTED
createEntry,POST,/stores/{storeId}/events/{eventId}/visits/{visitId}/entries,entrance.checkin,"V4-APR-05,V4-APR-06,V3-ENT-06",DESIGN_NOT_IMPLEMENTED
recordExit,POST,/stores/{storeId}/events/{eventId}/passes/exit,entrance.checkout,V3-ENT-10,DESIGN_NOT_IMPLEMENTED
recordReentry,POST,/stores/{storeId}/events/{eventId}/passes/reentry,entrance.checkin,V3-ENT-10,DESIGN_NOT_IMPLEMENTED
correctEntry,POST,/stores/{storeId}/events/{eventId}/entries/{entryId}/corrections,entry.correct,V3-ENT-11,DESIGN_NOT_IMPLEMENTED
importProvisional,POST,/stores/{storeId}/events/{eventId}/provisional-entries/import,offline.reconcile,V3-OFF-02,DESIGN_NOT_IMPLEMENTED
getSnapshot,GET,/stores/{storeId}/events/{eventId}/snapshot,sync.read,"V3-SYNC-03,V4-DEV-03",DESIGN_NOT_IMPLEMENTED
getChanges,GET,/stores/{storeId}/events/{eventId}/changes,sync.read,"V3-SYNC-02,V4-DEV-03",DESIGN_NOT_IMPLEMENTED
ackSync,POST,/stores/{storeId}/events/{eventId}/sync-ack,sync.ack,V3-SYNC-04,DESIGN_NOT_IMPLEMENTED
listBookings,GET,/stores/{storeId}/events/{eventId}/bookings,booking.read,,DESIGN_NOT_IMPLEMENTED
createBooking,POST,/stores/{storeId}/events/{eventId}/bookings,booking.create,"V3-VIP-01,V3-VIP-02",DESIGN_NOT_IMPLEMENTED
moveBooking,POST,/stores/{storeId}/events/{eventId}/bookings/{bookingId}/move,booking.manage,V3-VIP-04,DESIGN_NOT_IMPLEMENTED
decideBooking,POST,/stores/{storeId}/events/{eventId}/bookings/{bookingId}/decision,booking.approve,V3-VIP-07,DESIGN_NOT_IMPLEMENTED
cancelBooking,POST,/stores/{storeId}/events/{eventId}/bookings/{bookingId}/cancel,booking.cancel,V3-PAY-04,DESIGN_NOT_IMPLEMENTED
createCheckout,POST,/stores/{storeId}/events/{eventId}/bookings/{bookingId}/checkout,payment.create,"V3-PAY-01,V3-PAY-03",DESIGN_NOT_IMPLEMENTED
createOrder,POST,/stores/{storeId}/events/{eventId}/orders,sales.record,,DESIGN_NOT_IMPLEMENTED
getOrder,GET,/stores/{storeId}/events/{eventId}/orders/{orderId},sales.read,V3-PAY-05,DESIGN_NOT_IMPLEMENTED
addSalesLine,POST,/stores/{storeId}/events/{eventId}/orders/{orderId}/lines,sales.record,V3-FIN-03,DESIGN_NOT_IMPLEMENTED
recordPayment,POST,/stores/{storeId}/events/{eventId}/orders/{orderId}/payments,payment.record,V3-PAY-07,DESIGN_NOT_IMPLEMENTED
createRefund,POST,/stores/{storeId}/events/{eventId}/payments/{paymentId}/refunds,payment.refund,V3-PAY-04,DESIGN_NOT_IMPLEMENTED
prepareSettlement,POST,/stores/{storeId}/events/{eventId}/settlements,settlement.manage,V3-FIN-07,DESIGN_NOT_IMPLEMENTED
finalizeSettlement,POST,/stores/{storeId}/events/{eventId}/settlements/{settlementId}/finalize,settlement.finalize,V3-FIN-06,DESIGN_NOT_IMPLEMENTED
raiseRewardDispute,POST,/stores/{storeId}/events/{eventId}/reward-disputes,reward.dispute,V3-FIN-06,DESIGN_NOT_IMPLEMENTED
getMetrics,GET,/stores/{storeId}/events/{eventId}/metrics,report.store,"V3-FIN-03,V4-APR-07",DESIGN_NOT_IMPLEMENTED
createExport,POST,/stores/{storeId}/exports,report.export,V3-FIN-08,DESIGN_NOT_IMPLEMENTED
getExport,GET,/stores/{storeId}/exports/{exportId},report.export,,DESIGN_NOT_IMPLEMENTED
createFloorMap,POST,/stores/{storeId}/floor-maps,floor.manage,V3-VIP-06,DESIGN_NOT_IMPLEMENTED
createTable,POST,/stores/{storeId}/tables,floor.manage,,DESIGN_NOT_IMPLEMENTED
createOperatingTemplate,POST,/stores/{storeId}/templates,policy.manage,,DESIGN_NOT_IMPLEMENTED
createCoupon,POST,/stores/{storeId}/coupons,coupon.manage,,DESIGN_NOT_IMPLEMENTED
createRewardRule,POST,/stores/{storeId}/reward-rules,reward.manage,V3-FIN-04,DESIGN_NOT_IMPLEMENTED
createNotificationTemplate,POST,/stores/{storeId}/notification-templates,notification.manage,,DESIGN_NOT_IMPLEMENTED
createImport,POST,/stores/{storeId}/imports,import.manage,,DESIGN_NOT_IMPLEMENTED
listPermits,GET,/stores/{storeId}/permits,permit.manage,V4-CFG-01,DESIGN_NOT_IMPLEMENTED
previewPermitRevocation,POST,/stores/{storeId}/permits/{permitId}/preview-revocation,permit.manage,V4-CFG-06,DESIGN_NOT_IMPLEMENTED
getActivePolicy,GET,/stores/{storeId}/events/{eventId}/policy,policy.manage,V4-CFG-05,DESIGN_NOT_IMPLEMENTED
resetOperatorPin,PUT,/stores/{storeId}/memberships/{membershipId}/operator-pin,credential.manage,"V4-KSK-02,V4-KSK-05",DESIGN_NOT_IMPLEMENTED
getOwnPerformance,GET,/stores/{storeId}/events/{eventId}/my-performance,report.own,"V3-FIN-03,V3-FIN-06",DESIGN_NOT_IMPLEMENTED
createPublicBooking,POST,/public/{publicToken}/bookings,public.booking,V3-VIP-01,DESIGN_NOT_IMPLEMENTED
createPublicCheckout,POST,/public/bookings/{publicToken}/checkout,public.booking.checkout,V3-PAY-01,DESIGN_NOT_IMPLEMENTED
receiveWebhook,POST,/integrations/{provider}/webhooks,provider.signature,V3-PAY-02,DESIGN_NOT_IMPLEMENTED
