legacy_id,title,requirement_v4,release,epics,screens,scope_status,api_status,test_status
U-1,スタッフ招待,期限付き・単回利用の招待と個人認証で加入する。LINEログインを主方式、招待先メール認証を代替とし、招待と所属の照合を行う。,R1 / 改訂,"EP02,EP03,EP04,EP08","UI-01,UI-11",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
U-2,ロール管理,オーナー、管理者、マネージャー、指定承認者、入口、スタッフ、紹介者、DJ、SaaS運営者を管理。常連のお客様は内部ロールではない。,R1 / 改訂,"EP02,EP03,EP04,EP08","UI-01,UI-11",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
U-3,カスタム権限,店舗ごとに閲覧、作成、編集、削除、承認、決済、レポート、設定変更の権限を制御する。,R1 / 継承,"EP02,EP03,EP04,EP08","UI-01,UI-11",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
U-4,外部ユーザー制限,外部紹介者は自分に関係するゲスト、予約、クーポン、実績に限定する。承認省略の権限だけで他者の情報を公開しない。,R1 / 改訂,"EP02,EP03,EP04,EP08","UI-01,UI-11",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
U-5,承認者設定,指定承認者枠（既存最大3名）に加え、当日の入口担当も申請直後から通常承認できる。誰か1名の有効判断で確定。承認省略は別経路。,R1 / 改訂,"EP02,EP03,EP04,EP08","UI-01,UI-11",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
U-6,アカウント停止,所属・セッション・端末を停止し、以後のAPI・購読を拒否する。既存ゲストの取消は別操作として影響を確認する。,R1 / 改訂,"EP02,EP03,EP04,EP08","UI-01,UI-11",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
U-7,MFA/2 段階認証,店長・管理者・金銭操作・許可付与等に追加認証を適用する。実装方式・再認証期間は設計審査で確定する。,R1 / 改訂,"EP02,EP03,EP04,EP08","UI-01,UI-11",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
U-8,権限テンプレート,小規模/中規模/大規模クラブ向けに初期権限テンプレートを用意する。,R1 / 継承,"EP02,EP03,EP04,EP08","UI-01,UI-11",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
A-1,Web 管理画面,予約、売上、スタッフ、紹介者、ゲスト、イベント、設定をブラウザで一元管理する。,R1 / 継承,"EP03,EP04,EP09,EP10,EP12",UI-01..06,RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
A-2,モバイルアプリ/PWA,紹介者・スタッフは個人スマホ、入口は店舗共用タブレット・スマホでWeb／PWAを利用。担当者は個別に認証する。,R1 / 改訂,"EP03,EP04,EP09,EP10,EP12",UI-01..06,RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
A-3,エントランス専用UI,名前検索中心で、当日の受付・本人照合・通常承認・支払・部分入場を同じ入口UIで完結。QRは代替動線として維持。,R1 / 継承,"EP03,EP04,EP09,EP10,EP12",UI-01..06,RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
A-4,紹介者専用UI,紹介者が自分の営業、ゲスト、招待、申請、承認省略の残枠、入口同期、実績を見られる。,R1 / 改訂,"EP03,EP04,EP09,EP10,EP12",UI-01..06,RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
A-5,承認者専用UI,承認者が到着済み・理由・条件・残枠を見て承認／却下／差戻しする。操作時間目標と判断待ち時間は別に測定する。,R1 / 改訂,"EP03,EP04,EP09,EP10,EP12",UI-01..06,RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
A-6,オフライン補助,当日最小リストを事前同期。通信断は単一受付の暫定入場記録に限定し、復旧時に照合する。完全切断した複数端末の重複防止は保証しない。,R1 / 改訂,"EP03,EP04,EP09,EP10,EP12",UI-01..06,RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
A-7,端末管理,入口端末、スタッフ端末、紹介者端末のログイン状態、権限、紛失時無効化を管理する。,R1 / 継承,"EP03,EP04,EP09,EP10,EP12",UI-01..06,RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
E-1,イベント作成,イベント名、営業開始終了、店舗時刻、出演者、ジャンル、担当、公開区分、説明を管理し、日付跨ぎでも同じ営業へ記録する。,R1 / 改訂,"EP05,EP07,EP27",UI-08,RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
E-2,イベント別予約枠,イベントごとにテーブル在庫、一般入場枠、VIP 枠、フリー枠、紹介者参加可否を設定する。,R1 / 継承,"EP05,EP07,EP27",UI-08,RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
E-3,イベント別料金,テーブルミニマム、デポジット、キャンセル料、入場料、チケット価格をイベント別に設定する。,R1 / 継承,"EP05,EP07,EP27",UI-08,RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
E-4,イベント別紹介者,参加可能な紹介者、目標人数、クーポン、招待リンク、フリー枠を設定する。,R1 / 継承,"EP05,EP07,EP27",UI-08,RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
E-5,イベント複製,毎週/毎月のイベント設定を複製し、テーブル価格や通知文言を一括更新する。,R1 / 継承,"EP05,EP07,EP27",UI-08,RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
E-6,貸切イベント,貸切イベント専用フォーム、予約、決済、来店者カウント、売上、スタッフ配置を管理する。,R3 / 継承,"EP05,EP07,EP27",UI-08,RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
R-1,予約フォーム作成,店舗/イベント専用の予約フォームを作成し、SNS/Web/Instagram に貼れるURL を発行する。,R1 / 継承,"EP13,EP14,EP15","UI-09,UI-12",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
R-2,VIP テーブル予約,ゲストが空きテーブル、時間、人数、ミニマム料金、注意事項を確認して予約できる。,R1 / 継承,"EP13,EP14,EP15","UI-09,UI-12",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
R-3,事前決済連動予約,事前決済の真正性・金額・対象予約・在庫を検証して確定する。期限後の遅延成功は支払済み未確定として例外処理する。,R1 / 改訂,"EP13,EP14,EP15","UI-09,UI-12",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
R-4,予約一覧,日付、イベント、ステータス、テーブル、担当者、紹介者、決済状態で検索/フィルタする。,R1 / 継承,"EP13,EP14,EP15","UI-09,UI-12",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
R-5,予約追加/編集,電話、DM、ウォークインを店舗側で手動追加し、日時、人数、テーブル、料金、メモを編集する。,R1 / 継承,"EP13,EP14,EP15","UI-09,UI-12",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
R-6,予約ステータス,承認待ち、仮予約、確定、決済待ち、キャンセル、No-show、来店済みを管理する。,R1 / 継承,"EP13,EP14,EP15","UI-09,UI-12",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
R-7,ダブルブッキング防止,同一テーブル/時間/イベントの重複、テーブル結合後の在庫競合をブロックする。,R1 / 継承,"EP13,EP14,EP15","UI-09,UI-12",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
R-8,テーブル移動/結合,予約を別テーブルへ移動し、大人数向けに複数テーブルを結合する。料金再計算も行う。,R1 / 継承,"EP13,EP14,EP15","UI-09,UI-12",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
R-9,予約メモ/VIP メモ,誕生日、特別対応、担当、注意事項等を用途別権限で記録。健康等の情報は必要性・同意・保持方針を確認し、無制限保存しない。,R1 / 改訂,"EP13,EP14,EP15","UI-09,UI-12",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
R-10,予約変更履歴,予約内容、テーブル、料金、ステータス、担当者の変更履歴を保存する。,R1 / 継承,"EP13,EP14,EP15","UI-09,UI-12",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
F-1,2D フロアマップ,店舗の2D フロアレイアウトを登録し、テーブル/ステージ/バー/入口/導線を配置する。,R1 / 継承,"EP13,EP28",UI-09,RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
F-2,リアルタイム編集,営業中でもテーブル配置、ステータス、利用不可、結合/分割をリアルタイム編集する。,R1 / 継承,"EP13,EP28",UI-09,RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
F-3,テーブル属性,テーブル番号、席数、最小/最大人数、ミニマム料金、ゾーン、眺望、VIP 度合いを管理する。,R1 / 継承,"EP13,EP28",UI-09,RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
F-4,フロア予約表示,フロア上で空席、予約済み、着席中、チェックイン済み、会計待ち、利用不可を表示する。,R1 / 継承,"EP13,EP28",UI-09,RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
F-5,時間帯在庫,同一テーブルの時間帯別予約、滞在時間、次予約までの清掃/準備時間を管理する。,R1 / 継承,"EP13,EP28",UI-09,RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
F-6,3D フロアマップ,3D でフロアやテーブルを表示し、予約体験/管理体験を向上させる。,R4 / 継承,"EP13,EP28",UI-09,RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
F-7,フロア変更履歴,誰がいつフロアやテーブル配置を変更したかログ化し、復元できる。,R1 / 継承,"EP13,EP28",UI-09,RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
P-1,VIP ミニマム事前決済,VIP テーブル予約時にミニマム料金またはデポジットをオンライン決済する。,R1 / 継承,"EP15,EP16,EP26,EP27","UI-09,UI-10,UI-12",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
P-2,決済ステータス,未決済、認証中、決済済み、失敗、返金済み、一部返金、チャージバックを管理する。,R1 / 継承,"EP15,EP16,EP26,EP27","UI-09,UI-10,UI-12",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
P-3,返金管理,キャンセルポリシーに従い、全額/一部/返金不可を処理し、履歴を残す。,R1 / 継承,"EP15,EP16,EP26,EP27","UI-09,UI-10,UI-12",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
P-4,キャンセル料徴収,キャンセル期限を過ぎた場合、手数料やミニマムの一部を徴収する。,R1 / 継承,"EP15,EP16,EP26,EP27","UI-09,UI-10,UI-12",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
P-5,決済失敗対応,決済失敗時に予約を保留し、再決済リンク、期限、スタッフ通知を行う。,R1 / 継承,"EP15,EP16,EP26,EP27","UI-09,UI-10,UI-12",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
P-6,領収書/明細,ゲスト向け領収書、店舗向け売上明細、決済手数料、税額を発行/確認する。,R1 / 継承,"EP15,EP16,EP26,EP27","UI-09,UI-10,UI-12",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
P-7,売上計上,利用売上、預り、充当、当日決済、返金、手数料、帰属を分離集計する。同じ会計やデポジットを二重加算しない。,R1 / 改訂,"EP15,EP16,EP26,EP27","UI-09,UI-10,UI-12",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
P-8,No-show 記録,No-showの件数、予約見込み金額、実費、キャンセル回収額、原因を分ける。見込み料金全額を確定損失と断定しない。,R1 / 改訂,"EP15,EP16,EP26,EP27","UI-09,UI-10,UI-12",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
P-9,ボトル/商品事前購入,予約時にボトル、シャンパン、パッケージ、オプション商品を購入できる。,R3 / 継承,"EP15,EP16,EP26,EP27","UI-09,UI-10,UI-12",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
P-10,一般入場事前決済,一般エントランス料金をオンライン決済し、QR で入場できる。,R3 / 継承,"EP15,EP16,EP26,EP27","UI-09,UI-10,UI-12",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
P-11,イベントチケット販売,イベントチケット、早割、VIP パス、枚数制限、QR チケットを販売する。,R3 / 継承,"EP15,EP16,EP26,EP27","UI-09,UI-10,UI-12",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
G-1,ゲスト登録,店舗・スタッフ・DJ・紹介者・信頼済み紹介者・公開フォームから登録する。紹介者と実登録者を別々に保存する。,R1 / 改訂,"EP06,EP07,EP10,EP11","UI-02,UI-03,UI-05,UI-06",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
G-2,ゲスト一覧/検索,名前・読み・別名を主検索とし当日の来店、紹介者、状態で絞込。同名顧客を自動統合しない。電話・メール等の既存検索は取得済み・権限内に限る。,R1 / 継承,"EP06,EP07,EP10,EP11","UI-02,UI-03,UI-05,UI-06",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
G-3,VIP ゲスト管理,VIP区分、担当、来店履歴、利用履歴、好み、注意情報を最小権限で管理する。常連客の事前許可は区分フラグから分離する。,R1 / 改訂,"EP06,EP07,EP10,EP11","UI-02,UI-03,UI-05,UI-06",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
G-4,QR 招待状,ゲスト／予約／チケットを指す推測耐性のあるQRを発行し、最新条件と有効期限で照合する。QR内に管理権限・顧客詳細を埋め込まない。,R1 / 改訂,"EP06,EP07,EP10,EP11","UI-02,UI-03,UI-05,UI-06",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
G-5,QR チェックイン,エントランスでQR を読み取り、予約/招待/決済/フリー承認を確認して入場処理する。,R1 / 継承,"EP06,EP07,EP10,EP11","UI-02,UI-03,UI-05,UI-06",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
G-6,手動チェックイン,QR がない場合、名前や電話で検索し、権限に応じて手動入場処理する。,R1 / 継承,"EP06,EP07,EP10,EP11","UI-02,UI-03,UI-05,UI-06",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
G-7,二重入場防止,残人数の原子的更新と操作IDにより同時・重複入場を防ぐ。QRの再発行、取消、再入場は別状態で制御する。,R1 / 改訂,"EP06,EP07,EP10,EP11","UI-02,UI-03,UI-05,UI-06",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
G-8,グループ/同伴者,代表者・同伴者・予定／確定／実入場人数を分ける。部分入場、遅延到着、条件混在、追加人数の再判定に対応する。,R1 / 改訂,"EP06,EP07,EP10,EP11","UI-02,UI-03,UI-05,UI-06",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
G-9,入退場管理,入場、退場、再入場、滞在中、キャンセル、No-show を記録する。,R1 / 継承,"EP06,EP07,EP10,EP11","UI-02,UI-03,UI-05,UI-06",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
G-10,年齢確認/注意事項,エントランスで年齢確認、ドレスコード、注意人物、VIP 対応メモを表示する。,R1 / 継承,"EP06,EP07,EP10,EP11","UI-02,UI-03,UI-05,UI-06",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
M-1,紹介者登録,紹介者の氏名、活動名、区分（DJ／スタッフ等）、所属、連絡、SNS、契約条件、状態、メモを管理する。,R1 / 改訂,"EP07,EP17,EP19","UI-02,UI-10",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
M-2,専用アカウント,1人のアカウントに店舗・営業の権限を付与し、自分の関連ゲストと実績を扱えるようにする。,R1 / 改訂,"EP07,EP17,EP19","UI-02,UI-10",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
M-3,担当イベント設定,参加営業、目標、クーポン、フリー枠、承認省略許可、報酬規則を設定する。役職だけで無制限にしない。,R1 / 改訂,"EP07,EP17,EP19","UI-02,UI-10",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
M-4,専用ゲスト登録,紹介者が自分のゲストを登録する。代理登録では紹介者IDと登録者IDを分離し、代理範囲を検証する。,R1 / 改訂,"EP07,EP17,EP19","UI-02,UI-10",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
M-5,招待リンク/QR,紹介者別リンク・QRで流入／予約／入場を追跡する。公開リンクに内部の承認省略・管理権限を無条件継承させない。,R1 / 改訂,"EP07,EP17,EP19","UI-02,UI-10",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
M-6,クーポン発行権限,紹介者別に発行可能なクーポン種別、上限、割引率、利用期限を制御する。,R1 / 継承,"EP07,EP17,EP19","UI-02,UI-10",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
M-7,集客実績,登録・予約・初回実入場・No-show・有料・手動フリー・承認省略を分けて集計する。再入場を実績へ重複加算しない。,R1 / 改訂,"EP07,EP17,EP19","UI-02,UI-10",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
M-8,売上貢献,紹介者別の入場・VIP・店内利用売上を来店／会計IDで帰属する。事前預りは分離し、未接続売上は未計測と表示する。,R1 / 改訂,"EP07,EP17,EP19","UI-02,UI-10",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
M-9,報酬/インセンティブ,契約版に従って実入場・売上・フリー等を使い報酬を計算する。対象根拠・見込み／確定／調整・異議・支払記録を持つ。,R1 / 改訂,"EP07,EP17,EP19","UI-02,UI-10",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
C-1,フリー申請,フリー等を登録した際にサーバーが判定し、事前許可で確定するか、必要時だけ手動承認を申請する。,R1 / 改訂,"EP05,EP08,EP09","UI-04,UI-05,UI-07,UI-08",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
C-2,申請項目,営業、受付名、人数、条件、必要時の理由を基本入力とする。VIP度、SNS、関係性、時刻、添付は任意または条件付きとする。,R1 / 改訂,"EP05,EP08,EP09","UI-04,UI-05,UI-07,UI-08",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
C-3,3 名OR 承認,承認必要な申請は指定承認者または当日の入口承認権限者の1名で確定。入口も通常承認であり待機不要。常連客・権限者の許可内は省略。,R1 / 改訂,"EP05,EP08,EP09","UI-04,UI-05,UI-07,UI-08",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
C-4,排他ロック,申請版ごとの最初の有効な承認／却下／差戻しを原子的に確定する。枠引当・監査・配信予定を同時保存する。,R1 / 改訂,"EP05,EP08,EP09","UI-04,UI-05,UI-07,UI-08",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
C-5,却下/差戻し,却下／差戻しに理由を付ける。差戻し後の再提出は版を進め、旧版を後から承認できないようにする。,R1 / 改訂,"EP05,EP08,EP09","UI-04,UI-05,UI-07,UI-08",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
C-6,通知,指定承認者への通知と入口判断キューへの自動反映を行う。通常承認結果・取消は関係者に反映。通知と同期は別。,R1 / 改訂,"EP05,EP08,EP09","UI-04,UI-05,UI-07,UI-08",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
C-7,エントランス反映,事前許可または手動承認で確定した内訳を受付対象にする。承認待ち・却下・取消も別の要確認／検索枠で状態を確認できる。,R1 / 改訂,"EP05,EP08,EP09","UI-04,UI-05,UI-07,UI-08",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
C-8,上限管理,営業・紹介者・時間帯・許可・承認者別の上限に対応。使用量は入場済み消費＋未入場確定引当として管理する。,R1 / 改訂,"EP05,EP08,EP09","UI-04,UI-05,UI-07,UI-08",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
C-9,上限超過警告,枠超過は手動承認へ回すか不可とし、ハード上限を自動で超えない。上限変更は別権限・理由・履歴を必要とする。,R1 / 改訂,"EP05,EP08,EP09","UI-04,UI-05,UI-07,UI-08",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
