requirement_id,requirement,direct_operation_ids,mapping_status,implementation_status
V4-KSK-01,管理者が追加認証して店舗・用途・端末を登録。1回限りの短期ペアリングコードを使い、端末資格情報は失効・ローテーションできる。初期端末登録に個人のLINEセッションを残さない。,createEnrollment;consumeEnrollment,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V4-KSK-02,登録済み端末で当日の担当者を選択し個人PINで開始。PINはサーバーでハッシュ照合し、端末・担当者別の回数制限とロックを行う。PINの平文・共通PIN・クライアントだけの照合は禁止。,listDeviceOperators;unlockOperator;resetOperatorPin,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V4-KSK-03,端末認証だけでは顧客検索・承認・入場できない。有効な担当者セッション、当日の所属・役割、対象営業、登録端末の全条件が必要。,getMe,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V4-KSK-04,画面上部に担当者名・店舗・営業・端末・同期を常時表示。担当者交代では旧セッションを失効し権限と表示データを入れ替える。,listDevices,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V4-KSK-05,同一共用端末の有効担当者は原則1人。多タブの古い担当者画面はoperator_session_id不一致で拒否し、新担当者名に付け替えて成功させない。,unlockOperator;resetOperatorPin,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V4-KSK-06,無操作・画面背景化・営業終了時にロック。初期案は無操作180秒、担当者セッションは最長12時間か営業終了の早い方。実値は安全範囲内で管理設定する。,lockOperator,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V4-KSK-07,入場・承認・訂正にはmembership_id、device_id、operator_session_id、操作IDを記録。自分の申請の手動承認はv3初期案の禁止を継承し、入口の役割だけで解除しない。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V4-KSK-08,紛失・交代・PIN再発行・不正試行の停止を管理画面で行う。失効後のAPI・同期購読を停止。オフライン端末の即時遠隔消去は保証しない。,revokeDevice,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V3-REG-01,登録送信ごとに再送識別子を付け、二重タップ・タイムアウト後の再送でも同一登録を重複作成しない。保存結果が不明な場合は照会してから再試行する。,createVisit,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V3-REG-02,クライアント表示は判定見込み。保存時にサーバーが条件・権限・上限を評価し、結果・理由・有効版を返す。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-REG-03,氏名・電話等の正規化で重複候補を提示するが、候補を自動統合しない。統合・分割は履歴を残し、入場・売上の重複を解消する。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-REG-04,登録後の変更は版番号付きで行う。人数増、価格引下げ、同伴者追加、特典変更は再判定。入場済み部分を過去へ遡って書き換えない。,replaceSegment,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V3-POL-01,上表1〜6の順に判定し、禁止・有効性の確認を省略しない。例外行は全段階に適用する。結果にはmatched_rule_id、policy_version、grant_id、reason_codeを保存する。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-POL-02,複数の許可が一致しても最安料金へ自動変更・特典重ね掛けをしない。申請された条件に適合する許可を一つ選び、利用枠の所有者を記録する。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-POL-03,許可なし・期限切れ・枠超過では自動確定しない。申請可能な範囲なら手動承認へ、ハード制限なら保留／不可へ送る。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-POL-04,省略判定はSYSTEM、根拠は許可・ルール版。手動承認は実担当者を記録し、DESIGNATED／ENTRANCEを判断経路として残す。入口通常承認をSYSTEMやOVERRIDEとして記録しない。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-POL-05,管理画面から顧客または登録権限者、店舗、営業／曜日、期間、料金条件、1組上限、営業上限、同行者範囲、代理可否を設定。未設定は無制限でなく設定不足。無制限は明示設定として別権限・監査を必要とする。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-POL-06,許可付与・延長・範囲拡張・取消は管理権限と追加認証を必須とする。紹介者による自己付与、常連フラグの自己変更、他店の許可流用を拒否する。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-POL-07,フリー枠は「入場済み消費＋未入場の確定引当」で使用量を計算する。承認待ちでは引当せず、確定時に原子的に確認・引当する。再入場では再消費しない。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-POL-08,同時登録・同時承認でも営業別／紹介者別／許可別の上限を超えない。複数上限の確認と引当を同じトランザクションで行う。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-POL-09,未入場分の取消・減員は該当引当を1回だけ戻す。既に入場した枠は取消や再入場で増やせない。誤打刻訂正は責任者が根拠付きで処理する。,cancelVisit,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V3-POL-10,増員は追加分を別内訳として判定する。条件変更は未入場分の新しい版として申請し、旧条件を無断で上書きしない。入場済み分の変更は精算調整に分離する。,addSegments,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V3-POL-11,許可取消時に「今後の新規のみ」「未入場の既存枠も再審査」を明示選択する。初期案は前者。後者は対象一覧・影響確認・理由・通知を必須とする。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-POL-12,営業ルール変更も新規のみ適用／未入場へ再適用を区別する。判定版のスナップショットを残し、過去の実績を現在のルールで再解釈しない。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-APR-01,手動承認は指定承認者（既存最大3名枠、初期3名）または当日の入口承認権限者の誰か1名で成立。入口は申請直後から通常承認・却下・差戻し可能。指定枠に入口人数を押し込まず別の権限経路とする。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-APR-02,承認・却下・差戻しは申請版を指定する。現在のPending版に対する最初の有効な確定操作のみ成功し、他者には確定結果を返す。,decideApproval,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V3-APR-03,承認確定と枠引当・監査ログ・更新配信予約を原子的に保存する。通知失敗で確定済みの承認を失わない。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-APR-04,却下・差戻しは理由を必須とする。差戻し後の修正は新しい申請版で再提出し、旧画面からの承認を拒否する。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-APR-05,申請者自身の手動承認は初期案では不可。自身のゲストを確定できる人には承認省略許可を明示付与する。別ルールを採る場合はD-03で承認する。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-APR-06,到着済み申請を優先表示。通知の再送・管理者通知時間は管理画面で設定する。これらの時間は入口の承認権限発生条件ではない。無応答を自動承認しない。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-APR-07,一括承認は各申請ごとに権限・版・上限を再評価し、成功／失敗を個別表示する。一部失敗を全件成功として見せない。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-APR-08,入口の通常承認をOVERRIDE扱いにしない。既決定の再審査、ハード上限変更、金銭調整は独立した管理者権限。例外操作は理由と対象版を保持する。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V4-CFG-01,管理画面で顧客、権限者、対象店舗・営業、料金、同行者、1組人数、営業累計、開始終了日時を設定する。対象IDはサーバーで同じ店舗内に存在することを検証。,createPermit;listPermits,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V4-CFG-02,通常／割引／フリーの料金とVIP席・入場料込み／別を分離。通貨の最小単位の整数で金額を扱い、0円と金額未設定を区別する。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V4-CFG-03,全上限はUNSET／LIMITED／UNLIMITEDを区別し、UNSETは公開不可。UNLIMITEDは明示選択・権限・監査が必要。未設定のnullを無制限と解釈しない。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V4-CFG-04,"許可期間は店のタイムゾーン表示、内部はUTC時刻。判定は原則 [開始, 終了) とし、登録受付期間と実入場可能期間を分ける。深夜の日付跨ぎを同じ営業に接続する。",,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V4-CFG-05,下書き→シミュレーション→公開の版管理。公開はexpected_versionと冪等キーを必須にし、同時変更・未設定・範囲矛盾・許可対象不一致を拒否。,createPolicyVersion;previewPolicy;getActivePolicy,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V4-CFG-06,公開・許可取消は「新規のみ」「未入場分を再審査」を区別。後者は対象件数・金額・枠への影響を先に示し、確認済みプレビューの内容が変わったら再確認。,revokePermit;previewPolicy;publishPolicy;previewPermitRevocation,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V4-CFG-07,公開済み版を直接編集しない。戻す場合も過去版から新しい版を作る。入場済み・締め済みを新設定で遡及再計算しない。,publishPolicy,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V4-CFG-08,権限者の省略枠、一般割引、顧客本人許可、手動承認可能枠を区別。紹介者の省略枠超過は申請可能でも、店舗ハード上限は通常承認で超えられない。,createVisit,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V4-CFG-09,顧客許可は本人必須／同行者のみ先着可の条件も明示。本人必須で本人未照合なら同行者特典は保留し、通常料金への変更は本人同意・履歴付き。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V4-CFG-10,初期営業公開チェックで料金、枠、担当者、端末、期間等の不足を列挙する。設定不足を承認省略で突破しない。デモ設定を本番へ自動公開しない。,publishEvent,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V4-CUS-01,常連はお客様であり顧客IDで保存する。名前・読み・別名は検索キーで、権限や特典の主キーではない。名前一致で新規来店に特典を自動コピーしない。,searchCustomers;designateRegular,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V4-CUS-02,入力の原文を保持し、検索用にNFKC、空白整形、英字大小・かなの検索表記を正規化。漢字の読み・異体字・ローマ字を勝手に同一人物と推定しない。[T15],searchVisits,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V4-CUS-03,同名候補は別行表示。受付では紹介者・予約・既知スタッフの確認等、店舗で許可した追加情報で人が照合し、確認者・方法・時刻を残す。電話・身分証画像・専用QRを一律必須にしない。,recordCustomerCheck,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V4-CUS-04,顧客本人への許可が使われる入場には当該来店の本人照合記録を必須にする。登録時の顧客選択と、入口での本人確認を別状態にする。本人不明でも通常条件の別内訳を扱える。,recordCustomerCheck,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V4-CUS-05,紹介者には自分の来店に必要な最小候補だけを検索表示。全顧客台帳・他者の利用額・連絡先を公開しない。入口は当日来店を優先し、追加の顧客照会も用途・権限・回数制限を設ける。,searchCustomers,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V4-CUS-06,名前変更・別名追加・重複統合は履歴と権限付き。既存来店・決済の顧客IDを無審査で付け替えない。未特定の初回来店に常連フラグを自動作成しない。,createCustomer;updateCustomer,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V3-STA-01,ゲストは複数の条件内訳を持てる。例：フリー2名＋割引1名、または確定3名＋増員申請2名。QRは来店情報を指し、内訳の最新状態で人数を消費する。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-STA-02,不許可・取消対象を一覧から完全に消さず、権限付きの検索結果に「取消／期限切れ／要確認」を表示する。誤入場ボタンは出さない。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-STA-03,承認省略率と手動承認率を別集計し、申請数に承認不要登録を混ぜない。来店率の分母・除外条件は帳票に表示する。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-ENT-01,受付リスト自体を自動更新し、通常追加ごとの既読・受領操作を要求しない。通知を開かなくても名前検索から最新条件で処理できる。,searchVisits,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V3-ENT-02,検索結果は金額・人数・状態を文字で明示し、色だけに依存しない。0円はフリーと表示し、金額未確定と区別する。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-ENT-03,名前検索を主動線、QRを任意の代替検索キーにする。QRなし・カメラ許可なしでも主要受付を完結。QR内の金額や氏名一致だけで許可・本人確認を確定しない。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-ENT-04,入力中の検索・人数選択を同期のたびに消さない。対象の条件変更は差分と確認を示し、古い選択のまま確定させない。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-ENT-05,操作成功と支払確定を明瞭に表示する。送信中は連打を防ぎ、結果不明は状態照会を行う。端末に表示しただけで入場済みにしない。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-ENT-06,入場確定はサーバーで残人数・条件版・権限・支払を検証し、入場台帳と人数更新を同時に保存する。複数端末が同じ残人数を同時消費できない。,createEntry,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V3-ENT-07,入場記録に来店ID、条件内訳ID、人数、初回／再入場、担当者、端末、営業、サーバー時刻、操作IDを残す。再送は同じ結果を返す。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-ENT-08,グループは先着人数だけ部分入場できる。混在条件は今回入場する人数を条件別に選び、既に消費した無料枠・人数を再利用しない。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-ENT-09,一意の本人識別を必須としないグループ運用では、人数超過は防げても同伴者の個体識別は保証しない。再入場は個別パスまたは番号付きリストバンド等を用いる。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-ENT-10,退場・再入場は識別子と状態を確認する。初回入場数・集客報酬を再加算しない。再入場料がある場合は別の請求行として保存する。,recordExit;recordReentry,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V3-ENT-11,誤入場・人数訂正は原記録を残した取消／調整で扱い、誰が何を訂正したかを追跡する。紹介者自身は入口実績を直接書き換えられない。,correctEntry,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V3-ENT-12,在場数は入場累計−退場累計＋調整で計算する。退場を完全に記録しない運用では「推計」と表示し、正確な在場数と称さない。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-ENT-13,入場直前の許可取消・返金・再決済・別端末入場を再確認する。旧画面からの確定は競合として最新内容を表示する。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-SYNC-01,正式データはサーバーに一元化する。登録・承認・取消・入場等の更新と、配信予定レコードを同時保存し、通知サービスの失敗で変更を失わない。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-SYNC-02,配信はイベントIDとデータ版を持つ。重複到着は冪等に扱い、逆順で到着した古い版が新しい状態を上書きしない。削除／取消も反映する。,getChanges,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V3-SYNC-03,初回・画面復帰・回線復旧時に差分または全件を再取得する。スナップショットと更新購読の間の取りこぼしをカーソル等で検知・回復する。,getSnapshot,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V3-SYNC-04,入口の稼働端末は、その営業・データ版を画面の参照データへ適用した後に受領を返す。サーバーから配信しただけで同期済みにしない。,ackSync,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V3-SYNC-05,紹介者へ「保存済み／承認待ち／受付可能／入口2台中1台同期済み／同期未確認」を区別して表示する。人間の既読を意味しない。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-SYNC-06,入口担当は営業開始時に受付モードへ入り、店舗の稼働端末として登録する。他の紹介者端末は入口受領の判定対象に混ぜない。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-SYNC-07,オンライン・前面表示での同期を測定し、遅延・接続切断・版の不一致を検知する。携帯の画面消灯・バックグラウンドを常時稼働と誤表示しない。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-SYNC-08,プッシュ・音・バッジは補助。強い通知は到着済み承認待ち、取消・重大変更、障害等に限定し、通知拒否・配信失敗でも画面操作を成立させる。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-OFF-01,R1は当日最小データの事前同期と暫定記録に対応する。端末内データは対象営業・有効期限・最終同期を示し、他店舗／過去顧客全体を常駐させない。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-OFF-02,暫定入場は責任者、理由、識別子、人数、端末時刻、連番を保存する。通常の確定入場・報酬に混ぜず、暫定在場数として別表示する。,importProvisional,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V3-OFF-03,完全に切断した複数端末間の重複入場防止は保証しない。単一受付への集約を運用で徹底し、復旧後に重複・取消済み・枠超過を照合する。[W08],,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-OFF-04,PWA更新は営業ピークの強制再読込を避ける。更新版待機、再読込前の未送信確認、旧版API互換、キャッシュ破棄、ロールバック手順を用意する。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-OFF-05,入口端末故障・紛失は登録済み予備端末へ担当者認証して切替。個人端末の利用は管理者が入口端末として正式登録した場合に限る。共通アカウントを配布しない。失効とローカル消去完了は別。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V4-APR-01,入口担当は申請作成直後から承認・却下・差戻し可能。承認者不在、来店済み、経過時間を権限発生条件にしない。事前申請にも対応する。,listApprovals;decideApproval,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V4-APR-02,入口通常承認はdecision_route=ENTRANCE、指定承認はDESIGNATEDで記録。通常の入口承認に代行理由・緊急理由を必須にしない。却下・差戻しの理由は必須。,decideApproval,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V4-APR-03,認可対象は指定承認者集合と当日入口担当集合の和集合。入口は有効な登録端末・担当者セッションを必須にする。端末を持つだけでは承認できない。,updateAssignments,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V4-APR-04,承認権限は管理画面編集・恒久特典付与・返金権限を含まない。未確定範囲のみ判断でき、確定済みの却下を通常ボタンで上書きしない。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V4-APR-05,初期画面は「承認」「入場」を同じ詳細画面の連続操作にするが別トランザクション。承認成功後に支払・本人照合・最新残数を再確認して入場する。,createEntry,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V4-APR-06,承認成功・入場失敗の場合は承認済み・未入場と表示し、同じ承認を再送しない。入場再送は元の操作IDを使う。現金確認の重複計上も防ぐ。,createEntry,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V4-APR-07,入口担当の承認実績と紹介者の集客実績を分離。承認者になっただけで売上帰属を変更しない。通常／入口の判断別に件数・時間を分析する。,changeAttribution;getMetrics,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V3-VIP-01,公開フォームは日時・人数・空きテーブル・料金・入場料の扱い・キャンセル条件を提示する。仮押さえ、決済待ち、確定、取消、No-showを区別する。,createBooking;createPublicBooking,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V3-VIP-02,テーブル単位・時間帯単位で在庫を引当し、同時予約・結合・移動による二重販売を防ぐ。仮押さえ期限と清掃／準備時間を持たせる。,createBooking,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V3-VIP-03,決済成功の検証後、対象在庫が有効な場合だけ確定する。押さえ期限後の遅延成功は例外キューへ送り、別予約を追い出して確定しない。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-VIP-04,テーブル移動・結合は在庫・料金・許可・人数を再計算し、変更前後を保存する。追加請求・差額返金は元取引への調整とする。,moveBooking,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V3-VIP-05,予約の紹介者と入場の紹介者を照合し、同一来店IDに接続する。VIP予約作成だけで人数や利用売上を実績確定しない。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-VIP-06,2Dフロアで空き・予約・着席・会計待ち・利用不可を表示する。席数、ミニマム、ゾーン、配置版、準備時間を保存する。3DはR4の対象として維持。,createFloorMap,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V3-VIP-07,予約承認と入場料の特典承認は別判定。VIP確定でも入場料別なら当日請求し、入場料込みなら二重請求を防ぐ。,decideBooking,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V3-PAY-01,決済先、merchant／店舗、金額、通貨、注文・予約IDをサーバーで照合する。ブラウザの成功画面や任意パラメータだけで支払済みにしない。,createCheckout;createPublicCheckout,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V3-PAY-02,Webhookの真正性を検証し、受領IDを保存して重複処理を防ぐ。順序逆転・再送・欠落に対応し、必要時はPSPへ照会して再照合する。[W15],receiveWebhook,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V3-PAY-03,決済開始・追加請求・返金に冪等性キーを用いる。成功か不明な時は照会後に再試行し、二重請求・二重返金を防ぐ。[W16],createCheckout,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V3-PAY-04,返金は全額／一部／失敗／処理中を扱う。累積返金額を支払額以下とし、誰がどの理由で指示したかを記録する。返金済み入場権の再利用を再判定する。,cancelBooking;createRefund,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V3-PAY-05,事前預り、最終利用明細、充当、追加支払、返金、決済手数料を別台帳にする。カード番号等をアプリDBへ保存しない。,getOrder,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V3-PAY-06,決済失敗・認証中・No-show・チャージバック・取消を入場と分離する。争議・回収状況を管理し、確定済み報酬への影響は調整として残す。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-PAY-07,現金・外部決済・オンライン決済を分け、日次締めで件数・額・参照IDを照合する。未照合・遅延Webhookを例外一覧へ出す。,recordPayment,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V3-PAY-08,外部POS／予約／チケット接続は、外部ID・更新版・取消・返金・再送・監査を定義する。CSVの手動取込を即時連携とは表示しない。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-FIN-01,紹介者は顧客に永久固定せず、営業・来店単位で紐付ける。主紹介者、協力者、登録者、獲得経路を分け、変更履歴を保持する。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-FIN-02,R1は主紹介者1名を原則とし、協力者を別記録する。配分機能を有効化する場合は売上行ごとの合計100%を必須とし、未配分を明示する。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-FIN-03,入場売上、VIP利用、店内購買を分け、来店ID・予約ID・会計IDに紐付いた範囲のみ帰属する。未接続の売上は0円ではなく未計測と表示する。,addSalesLine;getMetrics;getOwnPerformance,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V3-FIN-04,報酬規則は適用期間、営業、対象条件、単価／率、税・返金・フリー・再入場の扱い、丸め、上限、支払予定日を版付きで管理する。,createRewardRule,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V3-FIN-05,登録人数ではなく有効な実入場等の合意済み基準を使う。ゲスト、入場・売上行、規則版、計算式、除外理由まで追える明細を作る。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-FIN-06,締め前は見込み、照合後は確定、締め後変更は調整として区別する。紹介者が自分の実績を確認して異議申告できる。確定額の直接上書きは禁止。,finalizeSettlement;raiseRewardDispute;getOwnPerformance,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V3-FIN-07,営業終了後、未同期端末、暫定入場、決済差額、未帰属、未解決取消、報酬異議を一覧化する。未処理を残して確定する場合は責任者・理由・対象額を明示する。,prepareSettlement,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V3-FIN-08,日次・週次・月次・営業・紹介者・決済別のCSV／Excel／PDFを出力する。営業時刻、通貨、税込／税抜、対象範囲、暫定／確定を記載する。,createExport,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V3-FIN-09,来店率、No-show率、承認率の分母・除外条件を固定する。グループ件数と人数、フリー申請と承認省略を混ぜない。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-FIN-10,フリーの通常料金との差は参考値であり実損ではない。原価を扱う場合は根拠ある追加費用として分離し、未設定を0円扱いしない。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
