table,scope,column,type,nullable,primary_key,reference,default,check,description
auth_sessions,global,step_up_at,timestamptz,True,False,,,,step_up_at
auth_sessions,global,version,integer,False,False,,1,version > 0,楽観ロック用の更新版
auth_sessions,global,created_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,サーバー作成時刻
auth_sessions,global,updated_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,更新時刻。更新処理が明示設定
stores,tenant,id,uuid,False,True,,gen_random_uuid(),,内部識別子。表示名とは独立
stores,tenant,tenant_id,uuid,False,False,tenants,,,テナント境界
stores,tenant,name,text,False,False,,,,name
stores,tenant,timezone,text,False,False,,'Asia/Tokyo',,timezone
stores,tenant,currency,char(3),False,False,,'JPY',,currency
stores,tenant,status,text,False,False,,'ACTIVE',"status IN ('ACTIVE', 'SUSPENDED', 'CLOSED')",status
stores,tenant,version,integer,False,False,,1,version > 0,version
stores,tenant,created_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,サーバー作成時刻
stores,tenant,updated_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,更新時刻。更新処理が明示設定
memberships,store,id,uuid,False,True,,gen_random_uuid(),,内部識別子。表示名とは独立
memberships,store,tenant_id,uuid,False,False,tenants,,,テナント境界
memberships,store,store_id,uuid,False,False,stores,,,店舗境界
memberships,store,user_id,uuid,False,False,app_users,,,user_id
memberships,store,display_name,text,False,False,,,,display_name
memberships,store,status,text,False,False,,'INVITED',"status IN ('INVITED', 'ACTIVE', 'SUSPENDED', 'ENDED')",status
memberships,store,valid_from,timestamptz,False,False,,,,valid_from
memberships,store,valid_to,timestamptz,True,False,,,,valid_to
memberships,store,version,integer,False,False,,1,version > 0,楽観ロック用の更新版
memberships,store,created_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,サーバー作成時刻
memberships,store,updated_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,更新時刻。更新処理が明示設定
roles,store,id,uuid,False,True,,gen_random_uuid(),,内部識別子。表示名とは独立
roles,store,tenant_id,uuid,False,False,tenants,,,テナント境界
roles,store,store_id,uuid,False,False,stores,,,店舗境界
roles,store,role_key,text,False,False,,,,role_key
roles,store,name,text,False,False,,,,name
roles,store,version,integer,False,False,,1,version > 0,version
roles,store,created_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,サーバー作成時刻
roles,store,updated_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,更新時刻。更新処理が明示設定
role_permissions,store,id,uuid,False,True,,gen_random_uuid(),,内部識別子。表示名とは独立
role_permissions,store,tenant_id,uuid,False,False,tenants,,,テナント境界
role_permissions,store,store_id,uuid,False,False,stores,,,店舗境界
role_permissions,store,role_id,uuid,False,False,roles,,,role_id
role_permissions,store,permission_key,text,False,False,,,,permission_key
role_permissions,store,version,integer,False,False,,1,version > 0,楽観ロック用の更新版
role_permissions,store,created_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,サーバー作成時刻
role_permissions,store,updated_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,更新時刻。更新処理が明示設定
membership_roles,store,id,uuid,False,True,,gen_random_uuid(),,内部識別子。表示名とは独立
membership_roles,store,tenant_id,uuid,False,False,tenants,,,テナント境界
membership_roles,store,store_id,uuid,False,False,stores,,,店舗境界
membership_roles,store,membership_id,uuid,False,False,memberships,,,membership_id
membership_roles,store,role_id,uuid,False,False,roles,,,role_id
membership_roles,store,granted_by,uuid,False,False,memberships,,,granted_by
membership_roles,store,expires_at,timestamptz,True,False,,,,expires_at
membership_roles,store,version,integer,False,False,,1,version > 0,楽観ロック用の更新版
membership_roles,store,created_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,サーバー作成時刻
membership_roles,store,updated_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,更新時刻。更新処理が明示設定
invitation_tokens,store,id,uuid,False,True,,gen_random_uuid(),,内部識別子。表示名とは独立
invitation_tokens,store,tenant_id,uuid,False,False,tenants,,,テナント境界
invitation_tokens,store,store_id,uuid,False,False,stores,,,店舗境界
invitation_tokens,store,token_hash,text,False,False,,,,token_hash
invitation_tokens,store,invite_target,text,False,False,,,,招待先。必要な場合に限定
invitation_tokens,store,role_id,uuid,False,False,roles,,,role_id
invitation_tokens,store,issued_by,uuid,False,False,memberships,,,issued_by
invitation_tokens,store,expires_at,timestamptz,False,False,,,,expires_at
invitation_tokens,store,used_at,timestamptz,True,False,,,,used_at
invitation_tokens,store,used_by,uuid,True,False,app_users,,,used_by
invitation_tokens,store,version,integer,False,False,,1,version > 0,楽観ロック用の更新版
invitation_tokens,store,created_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,サーバー作成時刻
invitation_tokens,store,updated_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,更新時刻。更新処理が明示設定
events,store,id,uuid,False,True,,gen_random_uuid(),,内部識別子。表示名とは独立
events,store,tenant_id,uuid,False,False,tenants,,,テナント境界
events,store,store_id,uuid,False,False,stores,,,店舗境界
events,store,name,text,False,False,,,,name
events,store,opens_at,timestamptz,False,False,,,,opens_at
events,store,closes_at,timestamptz,False,False,,,,closes_at
events,store,status,text,False,False,,'DRAFT',"status IN ('DRAFT', 'PUBLISHED', 'OPEN', 'RECONCILING', 'CLOSED')",status
events,store,version,integer,False,False,,1,version > 0,version
events,store,created_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,サーバー作成時刻
events,store,updated_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,更新時刻。更新処理が明示設定
event_assignments,event,id,uuid,False,True,,gen_random_uuid(),,内部識別子。表示名とは独立
event_assignments,event,tenant_id,uuid,False,False,tenants,,,テナント境界
event_assignments,event,store_id,uuid,False,False,stores,,,店舗境界
event_assignments,event,event_id,uuid,False,False,events,,,日付跨ぎを含む営業ID
event_assignments,event,membership_id,uuid,False,False,memberships,,,membership_id
event_assignments,event,assignment_kind,text,False,False,,,"assignment_kind IN ('REFERRER', 'DESIGNATED_APPROVER', 'ENTRANCE', 'ENTRANCE_APPROVER', 'RESERVATION')",assignment_kind
event_assignments,event,starts_at,timestamptz,False,False,,,,starts_at
event_assignments,event,ends_at,timestamptz,False,False,,,,ends_at
event_assignments,event,version,integer,False,False,,1,version > 0,楽観ロック用の更新版
event_assignments,event,created_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,サーバー作成時刻
event_assignments,event,updated_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,更新時刻。更新処理が明示設定
devices,store,id,uuid,False,True,,gen_random_uuid(),,内部識別子。表示名とは独立
devices,store,tenant_id,uuid,False,False,tenants,,,テナント境界
devices,store,store_id,uuid,False,False,stores,,,店舗境界
devices,store,label,text,False,False,,,,label
devices,store,status,text,False,False,,'PENDING',"status IN ('PENDING', 'ACTIVE', 'REVOKED')",status
devices,store,enrolled_by,uuid,False,False,memberships,,,enrolled_by
devices,store,operator_epoch,bigint,False,False,,0,operator_epoch >= 0,operator_epoch
devices,store,revoked_at,timestamptz,True,False,,,,revoked_at
devices,store,version,integer,False,False,,1,version > 0,楽観ロック用の更新版
devices,store,created_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,サーバー作成時刻
devices,store,updated_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,更新時刻。更新処理が明示設定
device_enrollments,store,id,uuid,False,True,,gen_random_uuid(),,内部識別子。表示名とは独立
device_enrollments,store,tenant_id,uuid,False,False,tenants,,,テナント境界
device_enrollments,store,store_id,uuid,False,False,stores,,,店舗境界
device_enrollments,store,device_id,uuid,False,False,devices,,,device_id
device_enrollments,store,code_hash,text,False,False,,,,code_hash
device_enrollments,store,issued_by,uuid,False,False,memberships,,,issued_by
device_enrollments,store,expires_at,timestamptz,False,False,,,,expires_at
device_enrollments,store,consumed_at,timestamptz,True,False,,,,consumed_at
device_enrollments,store,version,integer,False,False,,1,version > 0,楽観ロック用の更新版
device_enrollments,store,created_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,サーバー作成時刻
device_enrollments,store,updated_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,更新時刻。更新処理が明示設定
device_sessions,store,id,uuid,False,True,,gen_random_uuid(),,内部識別子。表示名とは独立
device_sessions,store,tenant_id,uuid,False,False,tenants,,,テナント境界
device_sessions,store,store_id,uuid,False,False,stores,,,店舗境界
device_sessions,store,device_id,uuid,False,False,devices,,,device_id
device_sessions,store,token_hash,text,False,False,,,,token_hash
device_sessions,store,expires_at,timestamptz,False,False,,,,expires_at
device_sessions,store,revoked_at,timestamptz,True,False,,,,revoked_at
device_sessions,store,last_seen_at,timestamptz,True,False,,,,last_seen_at
device_sessions,store,version,integer,False,False,,1,version > 0,楽観ロック用の更新版
device_sessions,store,created_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,サーバー作成時刻
device_sessions,store,updated_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,更新時刻。更新処理が明示設定
operator_credentials,store,id,uuid,False,True,,gen_random_uuid(),,内部識別子。表示名とは独立
operator_credentials,store,tenant_id,uuid,False,False,tenants,,,テナント境界
operator_credentials,store,store_id,uuid,False,False,stores,,,店舗境界
operator_credentials,store,membership_id,uuid,False,False,memberships,,,membership_id
operator_credentials,store,pin_hash,text,False,False,,,,Argon2id等。salt含む。pepperはDB外
operator_credentials,store,failed_attempts,integer,False,False,,0,failed_attempts >= 0,failed_attempts
operator_credentials,store,locked_until,timestamptz,True,False,,,,locked_until
operator_credentials,store,credential_version,integer,False,False,,1,credential_version > 0,credential_version
operator_credentials,store,version,integer,False,False,,1,version > 0,楽観ロック用の更新版
operator_credentials,store,created_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,サーバー作成時刻
operator_credentials,store,updated_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,更新時刻。更新処理が明示設定
operator_sessions,event,id,uuid,False,True,,gen_random_uuid(),,内部識別子。表示名とは独立
operator_sessions,event,tenant_id,uuid,False,False,tenants,,,テナント境界
operator_sessions,event,store_id,uuid,False,False,stores,,,店舗境界
operator_sessions,event,event_id,uuid,False,False,events,,,日付跨ぎを含む営業ID
operator_sessions,event,device_id,uuid,False,False,devices,,,device_id
operator_sessions,event,device_session_id,uuid,False,False,device_sessions,,,device_session_id
operator_sessions,event,membership_id,uuid,False,False,memberships,,,membership_id
operator_sessions,event,operator_epoch,bigint,False,False,,,operator_epoch > 0,operator_epoch
operator_sessions,event,token_hash,text,False,False,,,,token_hash
operator_sessions,event,expires_at,timestamptz,False,False,,,,expires_at
operator_sessions,event,locked_at,timestamptz,True,False,,,,locked_at
operator_sessions,event,ended_at,timestamptz,True,False,,,,ended_at
operator_sessions,event,version,integer,False,False,,1,version > 0,楽観ロック用の更新版
operator_sessions,event,created_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,サーバー作成時刻
operator_sessions,event,updated_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,更新時刻。更新処理が明示設定
customers,store,id,uuid,False,True,,gen_random_uuid(),,内部識別子。表示名とは独立
customers,store,tenant_id,uuid,False,False,tenants,,,テナント境界
customers,store,store_id,uuid,False,False,stores,,,店舗境界
customers,store,display_name,text,False,False,,,,display_name
customers,store,name_key,text,False,False,,,,検索用正規化。本人IDではない
customers,store,kana_key,text,True,False,,,,任意読みの正規化
customers,store,regular_status,text,False,False,,'NONE',"regular_status IN ('NONE', 'DESIGNATED', 'REVOKED')",regular_status
customers,store,masked_hint,text,True,False,,,,照合用の最小ヒント。詳細PIIは返さない
customers,store,contact_ciphertext,text,True,False,,,,必要時だけ暗号化した連絡先
customers,store,version,integer,False,False,,1,version > 0,version
customers,store,created_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,サーバー作成時刻
customers,store,updated_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,更新時刻。更新処理が明示設定
customer_aliases,store,id,uuid,False,True,,gen_random_uuid(),,内部識別子。表示名とは独立
customer_aliases,store,tenant_id,uuid,False,False,tenants,,,テナント境界
customer_aliases,store,store_id,uuid,False,False,stores,,,店舗境界
customer_aliases,store,customer_id,uuid,False,False,customers,,,customer_id
customer_aliases,store,alias,text,False,False,,,,alias
customer_aliases,store,alias_key,text,False,False,,,,alias_key
customer_aliases,store,version,integer,False,False,,1,version > 0,楽観ロック用の更新版
customer_aliases,store,created_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,サーバー作成時刻
customer_aliases,store,updated_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,更新時刻。更新処理が明示設定
operating_templates,store,id,uuid,False,True,,gen_random_uuid(),,内部識別子。表示名とは独立
operating_templates,store,tenant_id,uuid,False,False,tenants,,,テナント境界
operating_templates,store,store_id,uuid,False,False,stores,,,店舗境界
operating_templates,store,name,text,False,False,,,,name
operating_templates,store,settings,jsonb,False,False,,,,policy.schema.jsonに従う
operating_templates,store,version,integer,False,False,,1,version > 0,version
operating_templates,store,created_by,uuid,False,False,memberships,,,created_by
operating_templates,store,created_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,サーバー作成時刻
operating_templates,store,updated_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,更新時刻。更新処理が明示設定
policy_versions,event,id,uuid,False,True,,gen_random_uuid(),,内部識別子。表示名とは独立
policy_versions,event,tenant_id,uuid,False,False,tenants,,,テナント境界
policy_versions,event,store_id,uuid,False,False,stores,,,店舗境界
policy_versions,event,event_id,uuid,False,False,events,,,日付跨ぎを含む営業ID
policy_versions,event,version,integer,False,False,,,version > 0,version
policy_versions,event,status,text,False,False,,'DRAFT',"status IN ('DRAFT', 'PUBLISHED', 'SUPERSEDED')",status
policy_versions,event,settings,jsonb,False,False,,,,settings
policy_versions,event,effective_from,timestamptz,False,False,,,,effective_from
policy_versions,event,effective_to,timestamptz,False,False,,,,effective_to
policy_versions,event,apply_mode,text,False,False,,'NEW_ONLY',"apply_mode IN ('NEW_ONLY', 'REASSESS_UNENTERED')",apply_mode
policy_versions,event,published_by,uuid,True,False,memberships,,,published_by
policy_versions,event,published_at,timestamptz,True,False,,,,published_at
policy_versions,event,created_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,サーバー作成時刻
policy_versions,event,updated_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,更新時刻。更新処理が明示設定
price_rules,event,id,uuid,False,True,,gen_random_uuid(),,内部識別子。表示名とは独立
price_rules,event,tenant_id,uuid,False,False,tenants,,,テナント境界
price_rules,event,store_id,uuid,False,False,stores,,,店舗境界
price_rules,event,event_id,uuid,False,False,events,,,日付跨ぎを含む営業ID
price_rules,event,policy_version_id,uuid,False,False,policy_versions,,,policy_version_id
price_rules,event,rule_key,text,False,False,,,,rule_key
price_rules,event,price_kind,text,False,False,,,"price_kind IN ('NORMAL', 'DISCOUNT', 'FREE')",price_kind
price_rules,event,amount_minor,bigint,False,False,,,amount_minor >= 0,amount_minor
price_rules,event,currency,char(3),False,False,,,,currency
price_rules,event,entry_from,timestamptz,False,False,,,,entry_from
price_rules,event,entry_to,timestamptz,False,False,,,,entry_to
price_rules,event,payment_required,boolean,False,False,,true,,payment_required
price_rules,event,version,integer,False,False,,1,version > 0,楽観ロック用の更新版
price_rules,event,created_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,サーバー作成時刻
price_rules,event,updated_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,更新時刻。更新処理が明示設定
permits,store,id,uuid,False,True,,gen_random_uuid(),,内部識別子。表示名とは独立
permits,store,tenant_id,uuid,False,False,tenants,,,テナント境界
permits,store,store_id,uuid,False,False,stores,,,店舗境界
permits,store,permit_key,uuid,False,False,,,,版をまたぐ論理許可ID
permits,store,version,integer,False,False,,,version > 0,version
permits,store,subject_kind,text,False,False,,,"subject_kind IN ('CUSTOMER', 'ACTOR')",subject_kind
permits,store,customer_id,uuid,True,False,customers,,,customer_id
permits,store,actor_membership_id,uuid,True,False,memberships,,,actor_membership_id
permits,store,granted_by,uuid,False,False,memberships,,,granted_by
permits,store,conditions,jsonb,False,False,,,,permit.schema.json
permits,store,valid_from,timestamptz,False,False,,,,valid_from
permits,store,valid_to,timestamptz,False,False,,,,valid_to
permits,store,status,text,False,False,,'ACTIVE',"status IN ('ACTIVE', 'REVOKED')",status
permits,store,supersedes_id,uuid,True,False,permits,,,supersedes_id
permits,store,created_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,サーバー作成時刻
permits,store,updated_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,更新時刻。更新処理が明示設定
referrer_profiles,store,id,uuid,False,True,,gen_random_uuid(),,内部識別子。表示名とは独立
referrer_profiles,store,tenant_id,uuid,False,False,tenants,,,テナント境界
referrer_profiles,store,store_id,uuid,False,False,stores,,,店舗境界
referrer_profiles,store,membership_id,uuid,False,False,memberships,,,membership_id
referrer_profiles,store,stage_name,text,False,False,,,,stage_name
referrer_profiles,store,categories,text[],False,False,,'{}',,複数区分可
referrer_profiles,store,contract_reference,text,True,False,,,,contract_reference
referrer_profiles,store,version,integer,False,False,,1,version > 0,楽観ロック用の更新版
referrer_profiles,store,created_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,サーバー作成時刻
referrer_profiles,store,updated_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,更新時刻。更新処理が明示設定
invitation_links,event,id,uuid,False,True,,gen_random_uuid(),,内部識別子。表示名とは独立
invitation_links,event,tenant_id,uuid,False,False,tenants,,,テナント境界
invitation_links,event,store_id,uuid,False,False,stores,,,店舗境界
invitation_links,event,event_id,uuid,False,False,events,,,日付跨ぎを含む営業ID
invitation_links,event,referrer_membership_id,uuid,False,False,memberships,,,referrer_membership_id
invitation_links,event,token_hash,text,False,False,,,,token_hash
invitation_links,event,expires_at,timestamptz,False,False,,,,expires_at
invitation_links,event,status,text,False,False,,'ACTIVE',"status IN ('ACTIVE', 'REVOKED')",status
invitation_links,event,version,integer,False,False,,1,version > 0,楽観ロック用の更新版
invitation_links,event,created_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,サーバー作成時刻
invitation_links,event,updated_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,更新時刻。更新処理が明示設定
coupons,store,id,uuid,False,True,,gen_random_uuid(),,内部識別子。表示名とは独立
coupons,store,tenant_id,uuid,False,False,tenants,,,テナント境界
coupons,store,store_id,uuid,False,False,stores,,,店舗境界
coupons,store,code_hash,text,False,False,,,,code_hash
coupons,store,version,integer,False,False,,1,version > 0,version
coupons,store,owner_membership_id,uuid,True,False,memberships,,,owner_membership_id
coupons,store,conditions,jsonb,False,False,,,,conditions
coupons,store,valid_from,timestamptz,False,False,,,,valid_from
coupons,store,valid_to,timestamptz,False,False,,,,valid_to
coupons,store,status,text,False,False,,'DRAFT',"status IN ('DRAFT', 'ACTIVE', 'REVOKED')",status
coupons,store,created_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,サーバー作成時刻
coupons,store,updated_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,更新時刻。更新処理が明示設定
visits,event,id,uuid,False,True,,gen_random_uuid(),,内部識別子。表示名とは独立
visits,event,tenant_id,uuid,False,False,tenants,,,テナント境界
visits,event,store_id,uuid,False,False,stores,,,店舗境界
visits,event,event_id,uuid,False,False,events,,,日付跨ぎを含む営業ID
visits,event,customer_id,uuid,True,False,customers,,,customer_id
visits,event,referrer_membership_id,uuid,True,False,memberships,,,referrer_membership_id
visits,event,created_by,uuid,True,False,memberships,,,created_by
visits,event,source,text,False,False,,,"source IN ('STAFF', 'PUBLIC_LINK', 'VIP_FORM', 'IMPORT', 'WALK_IN')",source
visits,event,reception_name,text,False,False,,,,reception_name
visits,event,name_key,text,False,False,,,,name_key
visits,event,planned_count,integer,False,False,,,planned_count > 0,planned_count
visits,event,arrival_status,text,False,False,,'UNKNOWN',"arrival_status IN ('UNKNOWN', 'ON_WAY', 'ARRIVED')",arrival_status
visits,event,status,text,False,False,,'ACTIVE',"status IN ('ACTIVE', 'CANCELED', 'NO_SHOW', 'CLOSED')",status
visits,event,version,integer,False,False,,1,version > 0,version
visits,event,created_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,サーバー作成時刻
visits,event,updated_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,更新時刻。更新処理が明示設定
visit_members,event,id,uuid,False,True,,gen_random_uuid(),,内部識別子。表示名とは独立
visit_members,event,tenant_id,uuid,False,False,tenants,,,テナント境界
visit_members,event,store_id,uuid,False,False,stores,,,店舗境界
visit_members,event,event_id,uuid,False,False,events,,,日付跨ぎを含む営業ID
visit_members,event,visit_id,uuid,False,False,visits,,,visit_id
visit_members,event,customer_id,uuid,True,False,customers,,,customer_id
visit_members,event,display_name,text,True,False,,,,display_name
visit_members,event,member_kind,text,False,False,,,"member_kind IN ('PRINCIPAL', 'COMPANION')",member_kind
visit_members,event,version,integer,False,False,,1,version > 0,楽観ロック用の更新版
visit_members,event,created_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,サーバー作成時刻
visit_members,event,updated_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,更新時刻。更新処理が明示設定
customer_checks,event,id,uuid,False,True,,gen_random_uuid(),,内部識別子。表示名とは独立
customer_checks,event,tenant_id,uuid,False,False,tenants,,,テナント境界
customer_checks,event,store_id,uuid,False,False,stores,,,店舗境界
customer_checks,event,event_id,uuid,False,False,events,,,日付跨ぎを含む営業ID
customer_checks,event,visit_id,uuid,False,False,visits,,,visit_id
customer_checks,event,customer_id,uuid,False,False,customers,,,customer_id
customer_checks,event,checked_by,uuid,False,False,memberships,,,checked_by
customer_checks,event,operator_session_id,uuid,True,False,operator_sessions,,,operator_session_id
customer_checks,event,method,text,False,False,,,"method IN ('KNOWN_BY_STAFF', 'BOOKING_CONTEXT', 'CONTACT_HINT', 'OTHER')",method
customer_checks,event,note,text,True,False,,,,必要最小限の説明。ID画像は保存しない
customer_checks,event,valid_until,timestamptz,False,False,,,,valid_until
customer_checks,event,revoked_at,timestamptz,True,False,,,,revoked_at
customer_checks,event,created_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,サーバー作成時刻
admission_segments,event,id,uuid,False,True,,gen_random_uuid(),,内部識別子。表示名とは独立
admission_segments,event,tenant_id,uuid,False,False,tenants,,,テナント境界
admission_segments,event,store_id,uuid,False,False,stores,,,店舗境界
admission_segments,event,event_id,uuid,False,False,events,,,日付跨ぎを含む営業ID
admission_segments,event,visit_id,uuid,False,False,visits,,,visit_id
admission_segments,event,price_rule_id,uuid,False,False,price_rules,,,price_rule_id
admission_segments,event,permit_id,uuid,True,False,permits,,,permit_id
admission_segments,event,required_customer_id,uuid,True,False,customers,,,required_customer_id
admission_segments,event,requested_count,integer,False,False,,,requested_count > 0,requested_count
admission_segments,event,authorized_count,integer,False,False,,0,authorized_count >= 0,authorized_count
admission_segments,event,first_entered_count,integer,False,False,,0,first_entered_count >= 0,first_entered_count
admission_segments,event,unit_amount_minor,bigint,False,False,,,unit_amount_minor >= 0,unit_amount_minor
admission_segments,event,currency,char(3),False,False,,,,currency
admission_segments,event,status,text,False,False,,'PENDING',"status IN ('PENDING', 'AUTHORIZED', 'REJECTED', 'RETURNED', 'REVOKED', 'EXPIRED')",status
admission_segments,event,authorization_method,text,True,False,,,"authorization_method IN ('STANDARD', 'TRUSTED_ACTOR', 'CUSTOMER_PERMIT', 'MANUAL')",authorization_method
admission_segments,event,snapshot,jsonb,False,False,,,,設定・条件・許可の判定根拠
admission_segments,event,version,integer,False,False,,1,version > 0,version
admission_segments,event,entry_until,timestamptz,False,False,,,,entry_until
admission_segments,event,created_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,サーバー作成時刻
admission_segments,event,updated_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,更新時刻。更新処理が明示設定
approval_requests,event,id,uuid,False,True,,gen_random_uuid(),,内部識別子。表示名とは独立
approval_requests,event,tenant_id,uuid,False,False,tenants,,,テナント境界
approval_requests,event,store_id,uuid,False,False,stores,,,店舗境界
approval_requests,event,event_id,uuid,False,False,events,,,日付跨ぎを含む営業ID
approval_requests,event,segment_id,uuid,False,False,admission_segments,,,segment_id
approval_requests,event,requested_by,uuid,False,False,memberships,,,requested_by
approval_requests,event,request_version,integer,False,False,,,request_version > 0,request_version
approval_requests,event,segment_version,integer,False,False,,,segment_version > 0,segment_version
approval_requests,event,reason,text,False,False,,,,reason
approval_requests,event,status,text,False,False,,'PENDING',"status IN ('PENDING', 'APPROVED', 'REJECTED', 'RETURNED', 'SUPERSEDED')",status
approval_requests,event,version,integer,False,False,,1,version > 0,楽観ロック用の更新版
approval_requests,event,created_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,サーバー作成時刻
approval_requests,event,updated_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,更新時刻。更新処理が明示設定
approval_decisions,event,id,uuid,False,True,,gen_random_uuid(),,内部識別子。表示名とは独立
approval_decisions,event,tenant_id,uuid,False,False,tenants,,,テナント境界
approval_decisions,event,store_id,uuid,False,False,stores,,,店舗境界
approval_decisions,event,event_id,uuid,False,False,events,,,日付跨ぎを含む営業ID
approval_decisions,event,request_id,uuid,False,False,approval_requests,,,request_id
approval_decisions,event,decided_by,uuid,False,False,memberships,,,decided_by
approval_decisions,event,operator_session_id,uuid,True,False,operator_sessions,,,operator_session_id
approval_decisions,event,route,text,False,False,,,"route IN ('DESIGNATED', 'ENTRANCE')",route
approval_decisions,event,decision,text,False,False,,,"decision IN ('APPROVED', 'REJECTED', 'RETURNED')",decision
approval_decisions,event,reason,text,True,False,,,,reason
approval_decisions,event,operation_id,uuid,False,False,,,,operation_id
approval_decisions,event,created_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,サーバー作成時刻
quota_buckets,event,id,uuid,False,True,,gen_random_uuid(),,内部識別子。表示名とは独立
quota_buckets,event,tenant_id,uuid,False,False,tenants,,,テナント境界
quota_buckets,event,store_id,uuid,False,False,stores,,,店舗境界
